adID	Title	Location	AdPriority	Cost	Pictures	AdDuration	AdURL	Call	Email	Area	Bathrooms	Bedrooms
0	240 Sq Yard Brand New House For Sale In Saima Arabian Villas Block C	"Saima Arabian Villas, Gadap Town"	super hot	29500000	40	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_240_sq_yard_brand_new_house_for_sale_in_saima_arabian_villas_block_c-42468541-8856-1.html	TRUE	TRUE	240	6	6
1	Luxury Bungalow Available For Sale	"Saima Arabian Villas, Gadap Town"	super hot	6600000	17	3 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale-40044660-8856-1.html	TRUE	TRUE	120		
2	Luxury Bungalow Available For Sale In Near Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	super hot	6600000	14	4 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale_in_near_saima_arabian_villas-40729675-8856-1.html	TRUE	TRUE	120	2	2
3	Bungalow For Sale	"Saima Arabian Villas, Gadap Town"	hot	22500000	16	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_bungalow_for_sale-42366953-8856-1.html	TRUE	TRUE	240	3	3
4	Luxury Bungalow Available For Sale In Ali Town Near Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	hot	6600000	9	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale_in_ali_town_near_saima_arabian_villas-41712118-8856-1.html	TRUE	TRUE	120		
5	Luxury Bungalow Available For Sale In Ali Town Near Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	hot	6600000	15	4 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale_in_ali_town_near_saima_arabian_villas-41303109-8856-1.html	TRUE	TRUE	120		
6	Luxury Banglow Available For Sale	"Saima Arabian Villas, Gadap Town"	hot	6600000	12	4 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_banglow_available_for_sale-40045682-8856-1.html	TRUE	TRUE	120		
7	Luxury Banglow Available For Sale	"Saima Arabian Villas, Gadap Town"	hot	6600000	6	4 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_banglow_available_for_sale-40045698-8856-1.html	TRUE	TRUE	120	2	2
8	Saima Arabian Vilaaz  R Category  Block F   G+1	"Saima Arabian Villas, Gadap Town"	hot	16000000	13	5 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_saima_arabian_vilaaz__r_category__block_f_g_1-42325495-8856-1.html	TRUE	TRUE	120	4	4
9	Beautiful House Next To Corner Block C	"Saima Arabian Villas, Gadap Town"	hot	17000000	10	6 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_beautiful_house_next_to_corner_block_c-42630426-8856-1.html	TRUE	TRUE	120	6	4
10	1 Unit Bungalow (120 Yards) For Sale  In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	hot	13600000	1	4 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_1_unit_bungalow__120_yards__for_sale__in_saima_arabian_villas-42199786-8856-1.html	TRUE	TRUE	120	4	3
11	Prime Location 120 Square Yards House In Saima Arabian Villas For sale	"Saima Arabian Villas, Gadap Town"	Normal	12700000	14	15 hours ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_prime_location_120_square_yards_house_in_saima_arabian_villas_for_sale-42726696-8856-1.html	TRUE	TRUE	120		
12	Prime Location 120 Square Yards House In Karachi Is Available For sale	"Saima Arabian Villas, Gadap Town"	Normal	13000000	6	15 hours ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_prime_location_120_square_yards_house_in_karachi_is_available_for_sale-42726697-8856-1.html	TRUE	TRUE	120		
13	Stunning Prime Location 120 Square Yards House In Saima Arabian Villas Available	"Saima Arabian Villas, Gadap Town"	Normal	13500000	6	15 hours ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_stunning_prime_location_120_square_yards_house_in_saima_arabian_villas_available-42726698-8856-1.html	TRUE	TRUE	120		
14	A Prime Location House Of 120 Square Yards In Karachi	"Saima Arabian Villas, Gadap Town"	Normal	13300000	5	15 hours ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_a_prime_location_house_of_120_square_yards_in_karachi-42726702-8856-1.html	TRUE	TRUE	120		
15	Prime Location House Of 120 Square Yards Corner West Open Near To Market In Saima Arabian Villas Is Available.	"Saima Arabian Villas, Gadap Town"	Normal	14800000	6	15 hours ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_prime_location_house_of_120_square_yards_corner_west_open_near_to_market_in_saima_arabian_villas_is_available_-42726705-8856-1.html	TRUE	TRUE	120	2	2
16	"Reasonably-Priced Prime Location 120 Square Yards House In Saima Arabian Villas, Karachi Is Available As Of Now"	"Saima Arabian Villas, Gadap Town"	Normal	13000000	5	15 hours ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_reasonably_priced_prime_location_120_square_yards_house_in_saima_arabian_villas__karachi_is_available_as_of_now-42726706-8856-1.html	TRUE	TRUE	120		
17	A Well Designed Prime Location House Is Up For sale In An Ideal Location In Karachi	"Saima Arabian Villas, Gadap Town"	Normal	16500000	10	15 hours ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_a_well_designed_prime_location_house_is_up_for_sale_in_an_ideal_location_in_karachi-42726701-8856-1.html	TRUE	TRUE	160		
18	Prime Location Saima Arabian Villas House Sized 160 Square Yards Is Available	"Saima Arabian Villas, Gadap Town"	Normal	17500000	9	15 hours ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_prime_location_saima_arabian_villas_house_sized_160_square_yards_is_available-42726700-8856-1.html	TRUE	TRUE	160		
19	2 Bed Lounge With Roof Terrace Com 5 Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	5200000	6	1 day ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_2_bed_lounge_with_roof_terrace_com_5_saima_arabian_villas-35753367-8856-1.html	TRUE	TRUE	83	2	2
20	Get Your Dream Prime Location House In Saima Arabian Villas Karachi	"Saima Arabian Villas, Gadap Town"	Normal	19500000	7	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_get_your_dream_prime_location_house_in_saima_arabian_villas_karachi-42682503-8856-1.html	TRUE	TRUE	160	6	6
21	160 Sq Yd House For Sale Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	14500000	12	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_sq_yd_house_for_sale_saima_arabian_villas-42505541-8856-1.html	TRUE	TRUE	160	3	3
22	Block C 160sqy Corner Furnished Bungalow Is Available For Sale In Saima Arabian Villas.	"Saima Arabian Villas, Gadap Town"	Normal	16500000	13	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_c_160sqy_corner_furnished_bungalow_is_available_for_sale_in_saima_arabian_villas_-38331875-8856-1.html	TRUE	TRUE	160	3	3
23	120 Sq Yd Single Storey West Open Well Furnished Bungalow Available For Sale	"Saima Arabian Villas, Gadap Town"	Normal	12800000	20	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sq_yd_single_storey_west_open_well_furnished_bungalow_available_for_sale-41933618-8856-1.html	TRUE	TRUE	120	2	2
24	Com 6 2 Bed DD West Open Fourth Floor With Roof Available For Sale In Saima Arabian Villas.	"Saima Arabian Villas, Gadap Town"	Normal	7800000	16	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_com_6_2_bed_dd_west_open_fourth_floor_with_roof_available_for_sale_in_saima_arabian_villas_-40156795-8856-1.html	TRUE	TRUE	106	2	2
25	Block C Double Story East Open Furnished Bungalow Is Available For Sale In Saima Arabian Villas.	"Saima Arabian Villas, Gadap Town"	Normal	15800000	12	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_c_double_story_east_open_furnished_bungalow_is_available_for_sale_in_saima_arabian_villas_-38348612-8856-1.html	TRUE	TRUE	120	4	4
26	(Leased) 4th Floor Flat With Roof Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	7800000	27	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas__leased__4th_floor_flat_with_roof_available_for_sale_in_saima_arabian_villas-41729323-8856-1.html	TRUE	TRUE	106	2	2
27	Block C 160 SQ Yard Near To mosque east open  House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	17800000	11	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_c_160_sq_yard_near_to_mosque_east_open__house_available_for_sale_in_saima_arabian_villas-38331882-8856-1.html	TRUE	TRUE	160	6	6
28	120 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	12800000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088476-8856-1.html	TRUE	TRUE	120		
29	End Your Search For Prime Location House Here And sale Now	"Saima Arabian Villas, Gadap Town"	Normal	12800000	5	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_end_your_search_for_prime_location_house_here_and_sale_now-41600613-8856-1.html	TRUE	TRUE	120		
30	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	15500000	20	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39021197-8856-1.html	TRUE	TRUE	120		
31	160 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	20500000	21	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088456-8856-1.html	TRUE	TRUE	160	6	6
32	Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	5200000	6	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_flat_available_for_sale_in_saima_arabian_villas-41088458-8856-1.html	TRUE	TRUE	78	2	2
33	120 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	13000000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088464-8856-1.html	TRUE	TRUE	120		
34	160 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	23000000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088466-8856-1.html	TRUE	TRUE	160		
35	This Is Your Chance To Buy House In Saima Arabian Villas Karachi	"Saima Arabian Villas, Gadap Town"	Normal	16500000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_this_is_your_chance_to_buy_house_in_saima_arabian_villas_karachi-41088468-8856-1.html	TRUE	TRUE	160		
36	120 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	16500000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088471-8856-1.html	TRUE	TRUE	120		
37	120 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	16300000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088473-8856-1.html	TRUE	TRUE	120		
38	120 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	13500000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088474-8856-1.html	TRUE	TRUE	120		
39	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	15200000	29	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39021195-8856-1.html	TRUE	TRUE	120		
40	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	12200000	6	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426682-8856-1.html	TRUE	TRUE	120		
41	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	13500000	22	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426711-8856-1.html	TRUE	TRUE	160		
42	Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	7000000	8	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_flat_available_for_sale_in_saima_arabian_villas-39426713-8856-1.html	TRUE	TRUE	106		
43	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	13500000	8	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426680-8856-1.html	TRUE	TRUE	160		
44	Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	7000000	8	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_flat_available_for_sale_in_saima_arabian_villas-39426683-8856-1.html	TRUE	TRUE	106		
45	160 Sq Yd Villa Available For Sale In Saima Arabian Villa	"Saima Arabian Villas, Gadap Town"	Normal	14500000	25	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_sq_yd_villa_available_for_sale_in_saima_arabian_villa-41373477-8856-1.html	TRUE	TRUE	160	3	3
46	Two Bed Dd Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	7300000	16	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_two_bed_dd_flat_available_for_sale_in_saima_arabian_villas-41365644-8856-1.html	TRUE	TRUE	83	2	2
47	Prime Location sale E House In Karachi Prime Location	"Saima Arabian Villas, Gadap Town"	Normal	14600000	8	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_prime_location_sale_e_house_in_karachi_prime_location-41602758-8856-1.html	TRUE	TRUE	160	3	3
48	Luxury Bungalow Available For Sale In Ali Town	"Saima Arabian Villas, Gadap Town"	Normal	7200000	18	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale_in_ali_town-40047096-8856-1.html	TRUE	TRUE	120		
49	Luxury Bungalow Available For Sale	"Saima Arabian Villas, Gadap Town"	Normal	6600000	11	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale-40045752-8856-1.html	TRUE	TRUE	120		
50	Luxury Bungalow Available For Sale In Ali Town	"Saima Arabian Villas, Gadap Town"	Normal	6600000	10	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale_in_ali_town-40045744-8856-1.html	TRUE	TRUE	120	2	2
51	Luxury Bungalow Available For Sale In Ali Town	"Saima Arabian Villas, Gadap Town"	Normal	7200000	10	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale_in_ali_town-40045731-8856-1.html	TRUE	TRUE	120	2	2
52	Luxury Bungalow Available For Sale	"Saima Arabian Villas, Gadap Town"	Normal	6600000	8	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale-40045728-8856-1.html	TRUE	TRUE	120	2	2
53	Luxury Bungalow Available For Sale In Ali Town	"Saima Arabian Villas, Gadap Town"	Normal	7200000	7	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale_in_ali_town-40045706-8856-1.html	TRUE	TRUE	120	2	2
54	Luxury Bungalow  Available For Sale In Ali Town	"Saima Arabian Villas, Gadap Town"	Normal	7200000	15	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow__available_for_sale_in_ali_town-40045683-8856-1.html	TRUE	TRUE	120		
55	Luxury Banglow Available For Sale	"Saima Arabian Villas, Gadap Town"	Normal	6600000	16	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_banglow_available_for_sale-40044754-8856-1.html	TRUE	TRUE	120		
56	Luxury Banglow Available For Sale	"Saima Arabian Villas, Gadap Town"	Normal	6600000	15	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_banglow_available_for_sale-40044681-8856-1.html	TRUE	TRUE	120		
